label,data
득점,50
도움,30
슈팅,367
유효슈팅,155
블락된 슈팅,68
벗어난 슈팅,144
PA내 슈팅,240
PA외 슈팅,127
오프사이드,56
프리킥 유효슈팅,2
프리킥 크로스,10
코너킥,153
스로인,544
드리블,38
패스,"15,315"
키패스,232
수비진영 패스,"4,100"
롱패스,995
단거리패스,"8,416"
전방패스,"4,864"
중거리패스,"5,904"
횡패스,"6,460"
후방패스,"3,991"
크로스,139
공격진영 패스,"2,912"
중앙지역 패스,"8,303"
태클,230
경합(공중),451
경합(지상),236
인터셉트,337
클리어링,645
차단,554
획득,"2,252"
블락,511
볼미스,166
파울,318
피파울,301
경고,48
퇴장,1
실점,35
캐칭,30
펀칭,58
골킥,172
공중 클리어링,32
