label,data
득점,38
도움,17
슈팅,475
유효슈팅,164
블락된 슈팅,84
벗어난 슈팅,227
PA내 슈팅,256
PA외 슈팅,219
오프사이드,47
프리킥 유효슈팅,6
프리킥 크로스,12
코너킥,185
스로인,800
드리블,45
패스,"14,113"
키패스,267
수비진영 패스,"3,795"
롱패스,"1,098"
단거리패스,"8,001"
전방패스,"5,174"
중거리패스,"5,014"
횡패스,"5,522"
후방패스,"3,417"
크로스,176
공격진영 패스,"2,503"
중앙지역 패스,"7,815"
태클,321
경합(공중),741
경합(지상),313
인터셉트,452
클리어링,"1,085"
차단,759
획득,"2,950"
블락,761
볼미스,264
파울,387
피파울,397
경고,63
퇴장,3
실점,54
캐칭,62
펀칭,71
골킥,208
공중 클리어링,52
