label,data
득점,49
도움,30
슈팅,346
유효슈팅,123
블락된 슈팅,58
벗어난 슈팅,165
PA내 슈팅,207
PA외 슈팅,139
오프사이드,42
프리킥 유효슈팅,2
프리킥 크로스,8
코너킥,138
스로인,553
드리블,31
패스,"13,991"
키패스,206
수비진영 패스,"4,093"
롱패스,"1,068"
단거리패스,"7,557"
전방패스,"4,742"
중거리패스,"5,366"
횡패스,"5,583"
후방패스,"3,666"
크로스,131
공격진영 패스,"2,096"
중앙지역 패스,"7,802"
태클,250
경합(공중),487
경합(지상),234
인터셉트,339
클리어링,637
차단,522
획득,"2,102"
블락,508
볼미스,204
파울,280
피파울,300
경고,47
퇴장,2
실점,41
캐칭,45
펀칭,42
골킥,201
공중 클리어링,37
