label,data
득점,31
도움,18
슈팅,340
유효슈팅,104
블락된 슈팅,49
벗어난 슈팅,187
PA내 슈팅,201
PA외 슈팅,139
오프사이드,31
프리킥 유효슈팅,5
프리킥 크로스,8
코너킥,137
스로인,623
드리블,38
패스,"13,305"
키패스,197
수비진영 패스,"3,403"
롱패스,826
단거리패스,"7,802"
전방패스,"4,355"
중거리패스,"4,677"
횡패스,"5,590"
후방패스,"3,360"
크로스,139
공격진영 패스,"2,192"
중앙지역 패스,"7,710"
태클,220
경합(공중),518
경합(지상),239
인터셉트,317
클리어링,815
차단,578
획득,"2,350"
블락,526
볼미스,218
파울,316
피파울,288
경고,39
퇴장,2
실점,40
캐칭,39
펀칭,46
골킥,155
공중 클리어링,37
