label,data
득점,62
도움,40
슈팅,450
유효슈팅,192
블락된 슈팅,83
벗어난 슈팅,175
PA내 슈팅,290
PA외 슈팅,160
오프사이드,74
프리킥 유효슈팅,3
프리킥 크로스,12
코너킥,180
스로인,684
드리블,43
패스,"18,352"
키패스,289
수비진영 패스,"4,975"
롱패스,"1,170"
단거리패스,"10,319"
전방패스,"5,963"
중거리패스,"6,863"
횡패스,"7,633"
후방패스,"4,756"
크로스,175
공격진영 패스,"3,528"
중앙지역 패스,"9,849"
태클,281
경합(공중),553
경합(지상),305
인터셉트,435
클리어링,848
차단,710
획득,"2,801"
블락,634
볼미스,219
파울,368
피파울,375
경고,61
퇴장,1
실점,40
캐칭,45
펀칭,70
골킥,224
공중 클리어링,37
