label,data
득점,40
도움,21
슈팅,411
유효슈팅,141
블락된 슈팅,79
벗어난 슈팅,191
PA내 슈팅,235
PA외 슈팅,176
오프사이드,36
프리킥 유효슈팅,2
프리킥 크로스,8
코너킥,130
스로인,618
드리블,41
패스,"11,556"
키패스,222
수비진영 패스,"3,392"
롱패스,997
단거리패스,"6,482"
전방패스,"4,317"
중거리패스,"4,077"
횡패스,"4,425"
후방패스,"2,814"
크로스,146
공격진영 패스,"2,032"
중앙지역 패스,"6,132"
태클,291
경합(공중),559
경합(지상),304
인터셉트,373
클리어링,880
차단,605
획득,"2,516"
블락,607
볼미스,178
파울,331
피파울,315
경고,55
퇴장,1
실점,42
캐칭,44
펀칭,55
골킥,158
공중 클리어링,81
