label,data
득점,32
도움,13
슈팅,427
유효슈팅,143
블락된 슈팅,78
벗어난 슈팅,206
PA내 슈팅,232
PA외 슈팅,195
오프사이드,43
프리킥 유효슈팅,6
프리킥 크로스,10
코너킥,169
스로인,697
드리블,41
패스,"12,396"
키패스,237
수비진영 패스,"3,213"
롱패스,974
단거리패스,"6,988"
전방패스,"4,563"
중거리패스,"4,434"
횡패스,"4,834"
후방패스,"2,999"
크로스,162
공격진영 패스,"2,249"
중앙지역 패스,"6,934"
태클,278
경합(공중),630
경합(지상),283
인터셉트,395
클리어링,921
차단,646
획득,"2,590"
블락,652
볼미스,229
파울,338
피파울,342
경고,52
퇴장,3
실점,49
캐칭,57
펀칭,59
골킥,173
공중 클리어링,44
