label,data
득점,40
도움,23
슈팅,386
유효슈팅,136
블락된 슈팅,77
벗어난 슈팅,173
PA내 슈팅,227
PA외 슈팅,159
오프사이드,48
프리킥 유효슈팅,4
프리킥 크로스,11
코너킥,155
스로인,546
드리블,36
패스,"14,827"
키패스,208
수비진영 패스,"3,571"
롱패스,"1,049"
단거리패스,"7,508"
전방패스,"4,942"
중거리패스,"6,270"
횡패스,"5,991"
후방패스,"3,894"
크로스,150
공격진영 패스,"2,622"
중앙지역 패스,"8,634"
태클,216
경합(공중),488
경합(지상),222
인터셉트,326
클리어링,803
차단,517
획득,"2,323"
블락,569
볼미스,243
파울,362
피파울,376
경고,54
퇴장,2
실점,46
캐칭,37
펀칭,51
골킥,172
공중 클리어링,39
