label,data
득점,29
도움,12
슈팅,395
유효슈팅,132
블락된 슈팅,72
벗어난 슈팅,191
PA내 슈팅,214
PA외 슈팅,181
오프사이드,38
프리킥 유효슈팅,6
프리킥 크로스,8
코너킥,161
스로인,650
드리블,37
패스,"11,707"
키패스,220
수비진영 패스,"2,999"
롱패스,915
단거리패스,"6,618"
전방패스,"4,322"
중거리패스,"4,174"
횡패스,"4,543"
후방패스,"2,842"
크로스,150
공격진영 패스,"2,133"
중앙지역 패스,"6,575"
태클,262
경합(공중),592
경합(지상),269
인터셉트,367
클리어링,875
차단,608
획득,"2,453"
블락,618
볼미스,216
파울,314
피파울,331
경고,48
퇴장,3
실점,46
캐칭,53
펀칭,59
골킥,160
공중 클리어링,41
